iter	Passed	Remaining
0	72	72386
1	75	37472
2	80	26684
3	82	20551
4	84	16740
5	85	14101
6	86	12209
7	86	10780
8	87	9667
9	88	8777
10	89	8041
11	91	7556
12	92	7031
13	93	6586
14	94	6195
15	95	5849
16	95	5544
17	96	5273
18	97	5033
19	98	4817
20	99	4620
21	99	4440
22	100	4277
23	101	4126
24	102	3989
25	103	3860
26	103	3741
27	106	3687
28	107	3585
29	107	3488
30	108	3398
31	109	3312
32	110	3232
33	111	3157
34	111	3085
35	112	3018
36	113	2954
37	114	2894
38	115	2836
39	115	2781
40	116	2728
41	117	2681
42	118	2639
43	120	2622
44	121	2583
45	122	2545
46	123	2507
47	124	2471
48	125	2438
49	126	2405
50	127	2374
51	128	2344
52	129	2315
53	130	2286
54	131	2261
55	132	2235
56	134	2226
57	135	2208
58	137	2186
59	138	2164
60	139	2143
61	140	2123
62	141	2105
63	142	2083
64	143	2063
65	144	2043
66	145	2024
67	146	2005
68	147	1986
69	148	1968
70	150	1966
71	151	1950
72	152	1934
73	153	1917
74	154	1901
75	155	1886
76	156	1871
77	157	1857
78	158	1843
79	159	1829
80	160	1815
81	160	1801
82	161	1783
83	162	1770
84	164	1776
85	166	1766
86	167	1753
87	168	1741
88	168	1729
89	169	1718
90	170	1708
91	171	1697
92	172	1686
93	173	1676
94	174	1666
95	175	1656
96	176	1646
97	177	1636
98	179	1636
99	180	1627
100	181	1617
101	182	1608
102	183	1599
103	184	1590
104	185	1581
105	186	1573
106	187	1565
107	188	1556
108	189	1548
109	190	1541
110	191	1534
111	192	1526
112	193	1518
113	194	1515
114	195	1507
115	197	1501
116	197	1493
117	199	1492
118	200	1485
119	201	1478
120	202	1471
121	203	1463
122	204	1456
123	205	1450
124	206	1443
125	207	1437
126	208	1430
127	209	1426
128	210	1422
129	211	1417
130	212	1412
131	214	1407
132	216	1408
133	217	1404
134	218	1399
135	219	1394
136	220	1388
137	221	1382
138	223	1383
139	225	1388
140	227	1385
141	228	1378
142	229	1374
143	230	1370
144	231	1365
145	232	1360
146	233	1355
147	234	1350
148	235	1345
149	236	1340
150	238	1339
151	240	1340
152	242	1340
153	243	1336
154	244	1332
155	245	1328
156	247	1329
157	248	1324
158	249	1320
159	250	1316
160	251	1309
161	252	1305
162	255	1310
163	257	1310
164	258	1308
165	259	1306
166	261	1303
167	262	1300
168	263	1295
169	264	1292
170	265	1288
171	266	1284
172	269	1288
173	271	1287
174	272	1285
175	273	1282
176	275	1278
177	276	1274
178	277	1273
179	278	1269
180	279	1266
181	280	1261
182	281	1257
183	285	1265
184	287	1264
185	288	1261
186	289	1257
187	290	1254
188	291	1250
189	292	1246
190	293	1242
191	294	1238
192	295	1234
193	296	1230
194	297	1226
195	299	1230
196	301	1228
197	302	1225
198	303	1221
199	304	1217
200	305	1214
201	306	1211
202	307	1207
203	308	1204
204	310	1202
205	311	1199
206	311	1195
207	314	1198
208	315	1195
209	316	1191
210	317	1188
211	319	1185
212	320	1182
213	320	1178
214	321	1175
215	323	1172
216	323	1169
217	324	1165
218	325	1162
219	326	1158
220	330	1163
221	331	1161
222	332	1159
223	333	1156
224	334	1153
225	336	1151
226	337	1149
227	338	1145
228	339	1142
229	340	1139
230	341	1136
231	342	1132
232	345	1137
233	347	1137
234	348	1135
235	349	1132
236	351	1130
237	352	1127
238	352	1123
239	353	1120
240	354	1117
241	355	1114
242	356	1111
243	357	1107
244	360	1111
245	361	1109
246	363	1106
247	364	1103
248	365	1100
249	366	1098
250	366	1095
251	367	1092
252	369	1089
253	369	1086
254	370	1083
255	371	1080
256	373	1079
257	375	1080
258	376	1077
259	377	1074
260	378	1071
261	379	1068
262	380	1065
263	381	1063
264	382	1060
265	383	1057
266	383	1053
267	384	1050
268	385	1047
269	386	1043
270	386	1040
271	387	1037
272	389	1036
273	390	1033
274	390	1030
275	391	1027
276	392	1024
277	393	1021
278	394	1018
279	394	1015
280	395	1012
281	396	1009
282	397	1006
283	398	1003
284	398	1000
285	399	997
286	400	994
287	401	991
288	401	988
289	404	990
290	405	988
291	406	986
292	407	984
293	409	982
294	410	980
295	411	978
296	412	976
297	413	974
298	414	971
299	415	969
300	418	971
301	419	969
302	420	967
303	421	964
304	422	962
305	423	960
306	424	957
307	425	955
308	426	953
309	427	951
310	428	948
311	429	946
312	430	944
313	431	942
314	433	943
315	435	942
316	436	940
317	437	938
318	438	936
319	439	934
320	440	931
321	441	928
322	441	926
323	442	923
324	443	921
325	444	918
326	445	916
327	445	913
328	446	911
329	447	909
330	448	907
331	449	904
332	450	902
333	451	899
334	452	897
335	452	895
336	453	892
337	454	890
338	455	887
339	456	885
340	456	882
341	457	880
342	458	878
343	459	875
344	460	873
345	460	871
346	463	871
347	463	869
348	464	866
349	465	864
350	466	861
351	466	859
352	467	857
353	468	854
354	469	852
355	469	850
356	470	847
357	471	845
358	472	843
359	473	840
360	473	838
361	474	836
362	475	834
363	477	834
364	478	831
365	479	829
366	479	827
367	480	825
368	481	823
369	482	820
370	482	818
371	483	816
372	484	814
373	485	812
374	486	810
375	486	807
376	487	805
377	488	803
378	489	801
379	490	799
380	490	797
381	492	797
382	493	795
383	494	793
384	495	791
385	496	789
386	496	786
387	497	785
388	498	782
389	499	780
390	499	778
391	500	776
392	501	774
393	502	772
394	503	770
395	504	768
396	504	766
397	505	764
398	507	764
399	508	762
400	509	760
401	510	758
402	510	756
403	511	754
404	512	752
405	513	750
406	513	748
407	514	746
408	515	744
409	516	742
410	516	740
411	517	738
412	518	737
413	519	735
414	520	733
415	521	731
416	523	731
417	523	729
418	524	727
419	525	725
420	526	723
421	527	721
422	527	719
423	528	718
424	529	716
425	530	714
426	530	712
427	531	710
428	532	708
429	533	707
430	534	705
431	534	703
432	535	701
433	536	699
434	538	699
435	539	697
436	540	696
437	541	694
438	542	692
439	543	691
440	544	689
441	544	687
442	545	686
443	546	684
444	547	682
